,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
718,898.0,0.5670000000000001,1584.0,16.0,0.37200000000000005,43.0,226.0,26.0,50.0,679.0,914.0,0.562,1627.0,696.0,0.762,913.0,82.0,82.0,NBA,3122.0,232.0,259.0,2540.0,Ubiratan Pereira Maciel,PF,121.0,1989-90,304.0,911.0,UTA,0.5670000000000001
719,843.0,0.529,1594.0,4.0,0.28600000000000003,14.0,270.0,27.0,79.0,731.0,847.0,0.527,1608.0,684.0,0.77,888.0,82.0,82.0,NBA,3302.0,236.0,268.0,2382.0,Ubiratan Pereira Maciel,PF,89.0,1990-91,244.0,967.0,UTA,0.528
720,795.0,0.53,1499.0,3.0,0.17600000000000002,17.0,241.0,28.0,51.0,684.0,798.0,0.526,1516.0,673.0,0.778,865.0,81.0,81.0,NBA,3054.0,225.0,226.0,2272.0,Ubiratan Pereira Maciel,PF,108.0,1991-92,248.0,909.0,UTA,0.527
721,793.0,0.557,1423.0,4.0,0.2,20.0,308.0,29.0,85.0,692.0,797.0,0.552,1443.0,619.0,0.74,836.0,82.0,82.0,NBA,3099.0,227.0,261.0,2217.0,Ubiratan Pereira Maciel,PF,124.0,1992-93,240.0,919.0,UTA,0.5539999999999999
722,764.0,0.503,1520.0,8.0,0.25,32.0,328.0,30.0,126.0,705.0,772.0,0.49700000000000005,1552.0,511.0,0.6940000000000001,736.0,82.0,82.0,NBA,3329.0,235.0,268.0,2063.0,Ubiratan Pereira Maciel,PF,125.0,1993-94,234.0,940.0,UTA,0.5
723,819.0,0.5429999999999999,1507.0,11.0,0.268,41.0,285.0,31.0,85.0,715.0,830.0,0.536,1548.0,516.0,0.742,695.0,82.0,82.0,NBA,3126.0,156.0,269.0,2187.0,Ubiratan Pereira Maciel,PF,129.0,1994-95,236.0,871.0,UTA,0.54
724,773.0,0.522,1480.0,16.0,0.4,40.0,345.0,32.0,56.0,629.0,789.0,0.519,1520.0,512.0,0.723,708.0,82.0,82.0,NBA,3113.0,175.0,245.0,2106.0,Ubiratan Pereira Maciel,PF,138.0,1995-96,199.0,804.0,UTA,0.524
725,864.0,0.555,1558.0,0.0,0.0,13.0,368.0,33.0,48.0,616.0,864.0,0.55,1571.0,521.0,0.755,690.0,82.0,82.0,NBA,2998.0,193.0,217.0,2249.0,Ubiratan Pereira Maciel,PF,113.0,1996-97,233.0,809.0,UTA,0.55
726,778.0,0.531,1466.0,2.0,0.33299999999999996,6.0,316.0,34.0,70.0,645.0,780.0,0.53,1472.0,628.0,0.7609999999999999,825.0,81.0,81.0,NBA,3030.0,189.0,237.0,2190.0,Ubiratan Pereira Maciel,PF,96.0,1997-98,247.0,834.0,UTA,0.531
727,393.0,0.494,796.0,0.0,0.0,1.0,201.0,35.0,28.0,356.0,393.0,0.493,797.0,378.0,0.7879999999999999,480.0,49.0,49.0,NBA,1832.0,107.0,134.0,1164.0,Ubiratan Pereira Maciel,PF,62.0,1998-99,162.0,463.0,UTA,0.493
