,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
670,,,,,,,192.0,29.0,,,596.0,0.47700000000000004,1249.0,483.0,0.85,568.0,78.0,,NBA,2726.0,,203.0,1675.0,Jamaal Wilkes,SF,,1969-70,,604.0,CHI,
671,,,,,,,179.0,30.0,,,650.0,0.465,1398.0,480.0,0.8590000000000001,559.0,81.0,,NBA,2927.0,,187.0,1780.0,Jamaal Wilkes,SF,,1970-71,,588.0,CHI,
672,,,,,,,178.0,31.0,,,619.0,0.505,1225.0,481.0,0.847,568.0,78.0,,NBA,2588.0,,171.0,1719.0,Jamaal Wilkes,SF,,1971-72,,473.0,CHI,
673,,,,,,,179.0,32.0,,,597.0,0.478,1248.0,376.0,0.8320000000000001,452.0,79.0,,NBA,2455.0,,166.0,1570.0,Jamaal Wilkes,SF,,1972-73,,395.0,CHI,
674,,,,,,,200.0,33.0,4.0,275.0,572.0,0.486,1178.0,439.0,0.875,502.0,82.0,,NBA,2661.0,131.0,201.0,1583.0,Jamaal Wilkes,SF,68.0,1973-74,,406.0,CHI,
675,,,,,,,169.0,34.0,6.0,318.0,524.0,0.48700000000000004,1076.0,413.0,0.86,480.0,76.0,,NBA,2452.0,114.0,181.0,1461.0,Jamaal Wilkes,SF,49.0,1974-75,,432.0,CHI,
676,,,,,,,2126.0,,10.0,593.0,6876.0,0.47,14628.0,5079.0,0.7959999999999999,6384.0,1032.0,,NBA,33433.0,245.0,2727.0,18831.0,Jamaal Wilkes,,117.0,Career,,7314.0,,
677,,,,,,,,,,,,,,,,,,,,,,,,Jamaal Wilkes,,,,,,,
678,,,,,,,1029.0,,,,3318.0,0.457,7254.0,2407.0,0.7390000000000001,3255.0,558.0,,NBA,17624.0,,1618.0,9043.0,Jamaal Wilkes,,,7 seasons,,4416.0,"SYR,PHI",
679,,,,,,,1097.0,,10.0,593.0,3558.0,0.483,7374.0,2672.0,0.8540000000000001,3129.0,474.0,,NBA,15809.0,245.0,1109.0,9788.0,Jamaal Wilkes,,117.0,6 seasons,,2898.0,CHI,
680,502.0,0.442,1135.0,,,,183.0,21.0,22.0,468.0,502.0,0.442,1135.0,160.0,0.7340000000000001,218.0,82.0,,NBA,2515.0,203.0,222.0,1164.0,Roger Brown,SF,107.0,1974-75,,671.0,GSW,0.442
681,617.0,0.46299999999999997,1334.0,,,,167.0,22.0,31.0,527.0,617.0,0.46299999999999997,1334.0,227.0,0.772,294.0,82.0,,NBA,2716.0,193.0,222.0,1461.0,Roger Brown,SF,102.0,1975-76,,720.0,GSW,0.46299999999999997
682,548.0,0.478,1147.0,,,,211.0,23.0,16.0,423.0,548.0,0.478,1147.0,247.0,0.797,310.0,76.0,,NBA,2579.0,155.0,222.0,1343.0,Roger Brown,PF,127.0,1976-77,,578.0,GSW,0.478
683,277.0,0.44,630.0,,,,182.0,24.0,22.0,267.0,277.0,0.44,630.0,106.0,0.716,148.0,51.0,,NBA,1490.0,113.0,162.0,660.0,Roger Brown,SF,77.0,1977-78,107.0,380.0,LAL,0.44
684,626.0,0.504,1242.0,,,,227.0,25.0,27.0,445.0,626.0,0.504,1242.0,272.0,0.7509999999999999,362.0,82.0,,NBA,2915.0,164.0,275.0,1524.0,Roger Brown,SF,134.0,1978-79,224.0,609.0,LAL,0.504
685,723.0,0.539,1341.0,3.0,0.17600000000000002,17.0,250.0,26.0,28.0,349.0,726.0,0.535,1358.0,189.0,0.8079999999999999,234.0,82.0,,NBA,3111.0,176.0,220.0,1644.0,Roger Brown,SF,129.0,1979-80,157.0,525.0,LAL,0.536
686,785.0,0.53,1482.0,1.0,0.077,13.0,235.0,27.0,29.0,289.0,786.0,0.526,1495.0,254.0,0.758,335.0,81.0,,NBA,3028.0,146.0,223.0,1827.0,Roger Brown,SF,121.0,1980-81,207.0,435.0,LAL,0.526
687,744.0,0.527,1413.0,0.0,0.0,4.0,143.0,28.0,24.0,240.0,744.0,0.525,1417.0,246.0,0.732,336.0,82.0,82.0,NBA,2906.0,153.0,240.0,1734.0,Roger Brown,SF,89.0,1981-82,164.0,393.0,LAL,0.525
688,684.0,0.5329999999999999,1284.0,0.0,0.0,6.0,182.0,29.0,17.0,197.0,684.0,0.53,1290.0,203.0,0.757,268.0,80.0,80.0,NBA,2552.0,146.0,221.0,1571.0,Roger Brown,SF,65.0,1982-83,150.0,343.0,LAL,0.53
689,540.0,0.516,1047.0,2.0,0.25,8.0,214.0,30.0,41.0,210.0,542.0,0.514,1055.0,208.0,0.743,280.0,75.0,74.0,NBA,2507.0,130.0,205.0,1294.0,Roger Brown,SF,72.0,1983-84,137.0,340.0,LAL,0.515
690,148.0,0.49,302.0,0.0,0.0,1.0,41.0,31.0,3.0,59.0,148.0,0.488,303.0,51.0,0.773,66.0,42.0,8.0,NBA,761.0,35.0,65.0,347.0,Roger Brown,SF,19.0,1984-85,49.0,94.0,LAL,0.488
691,25.0,0.40299999999999997,62.0,1.0,0.33299999999999996,3.0,15.0,32.0,2.0,16.0,26.0,0.4,65.0,22.0,0.815,27.0,13.0,1.0,NBA,195.0,13.0,19.0,75.0,Roger Brown,SF,7.0,1985-86,16.0,29.0,LAC,0.408
692,6219.0,0.501,12419.0,7.0,0.135,52.0,2050.0,,262.0,3490.0,6226.0,0.499,12471.0,2185.0,0.759,2878.0,828.0,245.0,NBA,27275.0,1627.0,2296.0,14644.0,Roger Brown,,1049.0,Career,1211.0,5117.0,,0.5
693,,,,,,,,,,,,,,,,,,,,,,,,Roger Brown,,,,,,,
694,4527.0,0.518,8741.0,6.0,0.122,49.0,1474.0,,191.0,2056.0,4533.0,0.516,8790.0,1529.0,0.754,2029.0,575.0,244.0,NBA,19270.0,1063.0,1611.0,10601.0,Roger Brown,,706.0,8 seasons,1195.0,3119.0,LAL,0.516
695,1667.0,0.461,3616.0,,,,561.0,,69.0,1418.0,1667.0,0.461,3616.0,634.0,0.7709999999999999,822.0,240.0,,NBA,7810.0,551.0,666.0,3968.0,Roger Brown,,336.0,3 seasons,,1969.0,GSW,0.461
696,25.0,0.40299999999999997,62.0,1.0,0.33299999999999996,3.0,15.0,,2.0,16.0,26.0,0.4,65.0,22.0,0.815,27.0,13.0,1.0,NBA,195.0,13.0,19.0,75.0,Roger Brown,,7.0,1 season,16.0,29.0,LAC,0.408
